trip_id,driver_key,zone_key,date_key,start_utc,fare_sar,distance_km,duration_seconds,gps_event_count
SYN_LATE001,SYN_D001,Z_RIYADH,20260601,2026-06-01T20:55:00Z,25.00,5.00,780,0
SYN_LATE002,SYN_D003,Z_JEDDAH,20260601,2026-06-01T20:55:00Z,27.00,5.40,840,0
SYN_LATE003,SYN_D005,Z_DAMMAM,20260601,2026-06-01T20:55:00Z,29.00,5.80,900,0
SYN_T0001,SYN_D001,Z_RIYADH,20260601,2026-06-01T03:00:00Z,23.00,3.50,480,4
SYN_T0002,SYN_D002,Z_RIYADH,20260601,2026-06-01T05:00:00Z,19.25,3.85,660,3
SYN_T0003,SYN_D001,Z_RIYADH,20260601,2026-06-01T07:00:00Z,20.50,4.20,840,3
SYN_T0004,SYN_D002,Z_RIYADH,20260601,2026-06-01T09:00:00Z,21.75,4.55,1020,3
SYN_T0005,SYN_D001,Z_RIYADH,20260601,2026-06-01T11:00:00Z,23.00,4.90,1200,3
SYN_T0006,SYN_D002,Z_RIYADH,20260601,2026-06-01T13:00:00Z,24.25,5.25,1380,3
SYN_T0007,SYN_D001,Z_RIYADH,20260601,2026-06-01T15:00:00Z,25.50,5.60,1560,3
SYN_T0008,SYN_D002,Z_RIYADH,20260601,2026-06-01T17:00:00Z,26.75,5.95,1740,3
SYN_T0009,SYN_D003,Z_JEDDAH,20260601,2026-06-01T03:05:00Z,19.80,4.10,600,3
SYN_T0010,SYN_D004,Z_JEDDAH,20260601,2026-06-01T05:05:00Z,21.05,4.45,780,3
SYN_T0011,SYN_D003,Z_JEDDAH,20260601,2026-06-01T07:05:00Z,22.30,4.80,960,3
SYN_T0012,SYN_D004,Z_JEDDAH,20260601,2026-06-01T09:05:00Z,23.55,5.15,1140,3
SYN_T0013,SYN_D003,Z_JEDDAH,20260601,2026-06-01T11:05:00Z,24.80,5.50,1320,3
SYN_T0014,SYN_D004,Z_JEDDAH,20260601,2026-06-01T13:05:00Z,26.05,5.85,1500,3
SYN_T0015,SYN_D003,Z_JEDDAH,20260601,2026-06-01T15:05:00Z,27.30,6.20,1680,3
SYN_T0016,SYN_D004,Z_JEDDAH,20260601,2026-06-01T17:05:00Z,28.55,6.55,1860,3
SYN_T0017,SYN_D005,Z_DAMMAM,20260601,2026-06-01T03:10:00Z,21.60,4.70,720,3
