driver_key,trip_date_local,trip_count,total_fare_sar,total_duration_seconds
SYN_D001,2026-06-01,5,117.00,4860
SYN_D001,2026-06-02,4,90.00,4320
SYN_D001,2026-06-03,4,93.00,4560
SYN_D002,2026-06-01,4,92.00,4800
SYN_D002,2026-06-02,4,95.00,5040
SYN_D002,2026-06-03,4,98.00,5280
SYN_D003,2026-06-01,5,121.20,5400
SYN_D003,2026-06-02,4,97.20,4800
SYN_D003,2026-06-03,4,100.20,5040
SYN_D004,2026-06-01,4,99.20,5280
SYN_D004,2026-06-02,4,102.20,5520
SYN_D004,2026-06-03,4,105.20,5760
SYN_D005,2026-06-01,5,130.40,5940
SYN_D005,2026-06-02,4,104.40,5280
SYN_D005,2026-06-03,4,107.40,5520
SYN_D006,2026-06-01,4,106.40,5760
SYN_D006,2026-06-02,4,109.40,6000
SYN_D006,2026-06-03,4,112.40,6240
