zone_key,hour_utc,hour_local,trip_count,total_fare_sar,total_duration_seconds
Z_DAMMAM,2026-06-01T03:00:00Z,2026-06-01T06:00:00+03:00,1,21.60,720
Z_DAMMAM,2026-06-01T05:00:00Z,2026-06-01T08:00:00+03:00,1,22.85,900
Z_DAMMAM,2026-06-01T07:00:00Z,2026-06-01T10:00:00+03:00,1,24.10,1080
Z_DAMMAM,2026-06-01T09:00:00Z,2026-06-01T12:00:00+03:00,1,25.35,1260
Z_DAMMAM,2026-06-01T11:00:00Z,2026-06-01T14:00:00+03:00,1,26.60,1440
Z_DAMMAM,2026-06-01T13:00:00Z,2026-06-01T16:00:00+03:00,1,27.85,1620
Z_DAMMAM,2026-06-01T15:00:00Z,2026-06-01T18:00:00+03:00,1,29.10,1800
Z_DAMMAM,2026-06-01T17:00:00Z,2026-06-01T20:00:00+03:00,1,30.35,1980
Z_DAMMAM,2026-06-01T20:00:00Z,2026-06-01T23:00:00+03:00,1,29.00,900
Z_DAMMAM,2026-06-02T03:00:00Z,2026-06-02T06:00:00+03:00,1,22.35,780
Z_DAMMAM,2026-06-02T05:00:00Z,2026-06-02T08:00:00+03:00,1,23.60,960
Z_DAMMAM,2026-06-02T07:00:00Z,2026-06-02T10:00:00+03:00,1,24.85,1140
Z_DAMMAM,2026-06-02T09:00:00Z,2026-06-02T12:00:00+03:00,1,26.10,1320
Z_DAMMAM,2026-06-02T11:00:00Z,2026-06-02T14:00:00+03:00,1,27.35,1500
Z_DAMMAM,2026-06-02T13:00:00Z,2026-06-02T16:00:00+03:00,1,28.60,1680
Z_DAMMAM,2026-06-02T15:00:00Z,2026-06-02T18:00:00+03:00,1,29.85,1860
Z_DAMMAM,2026-06-02T17:00:00Z,2026-06-02T20:00:00+03:00,1,31.10,2040
Z_DAMMAM,2026-06-03T03:00:00Z,2026-06-03T06:00:00+03:00,1,23.10,840
Z_DAMMAM,2026-06-03T05:00:00Z,2026-06-03T08:00:00+03:00,1,24.35,1020
Z_DAMMAM,2026-06-03T07:00:00Z,2026-06-03T10:00:00+03:00,1,25.60,1200
Z_DAMMAM,2026-06-03T09:00:00Z,2026-06-03T12:00:00+03:00,1,26.85,1380
